population_id,zip_code,average_pop
393,1852,"33,355"
394,1854,"28,586"
395,1860,"6,468"
396,1862,"10,682"
397,1863,"9,075"
398,1864,"15,102"
399,1867,"24,470"
400,1876,"28,964"
401,1879,"11,674"
402,1880,"25,256"
403,1886,"22,595"
404,1887,"22,692"
405,1890,"21,725"
406,1901,"1,787"
407,1902,"45,695"
408,1904,"18,218"
409,1905,"25,191"
410,1906,"27,107"
411,1907,"14,122"
412,1908,"3,439"
413,1913,"16,552"
414,1915,"40,105"
415,1921,"8,055"
416,1922,"2,927"
417,1923,"26,796"
418,1929,"3,551"
419,1930,"29,117"
420,1937,103
421,1938,"13,386"
422,1940,"12,430"
423,1944,"5,210"
424,1945,"20,036"
425,1949,"9,167"
426,1950,"17,583"
427,1951,"3,828"
428,1952,"8,464"
429,1960,"51,321"
430,1966,"7,055"
431,1969,"5,952"
432,1970,"41,791"
433,1982,"7,978"
434,1983,"6,229"
435,1984,"4,975"
436,1985,"4,329"
437,2019,"16,474"
438,2021,"21,889"
439,2025,"7,916"
440,2026,"24,923"
441,2030,"5,692"
442,2032,"3,944"
443,2035,"17,025"
444,2038,"32,110"
445,2043,"22,389"
446,2045,"10,358"
447,2047,132
448,2048,"23,321"
449,2050,"25,602"
450,2052,"12,192"
451,2053,"12,886"
452,2054,"7,967"
453,2056,"11,238"
454,2061,"10,605"
455,2062,"28,741"
456,2066,"17,800"
457,2067,"17,632"
458,2071,"1,813"
459,2072,"27,584"
460,2081,"18,935"
461,2090,"14,820"
462,2093,"11,113"
463,2108,"4,035"
464,2109,"4,041"
465,2110,"1,805"
466,2111,"7,482"
467,2113,"7,125"
468,2114,"12,356"
469,2115,"28,991"
470,2116,"21,728"
471,2118,"27,284"
472,2119,"25,335"
473,2120,"14,458"
474,2121,"26,912"
475,2122,"24,763"
476,2124,"50,739"
477,2125,"33,805"
478,2126,"27,606"
479,2127,"33,952"
480,2128,"43,229"
481,2129,"17,422"
482,2130,"37,417"
483,2131,"31,165"
484,2132,"27,579"
485,2134,"19,327"
486,2135,"39,246"
487,2136,"29,869"
488,2138,"36,155"
489,2139,"36,121"
490,2140,"18,282"
491,2141,"12,845"
